"Employed people, Australia, August 1966 to July 2025, Seasonally adjusted"
,"Persons ('000)","Males ('000)","Females ('000)"
"Aug-66","4,836.1","3,373.5","1,462.4"
"Sep-66","4,836.1","3,373.5","1,462.4"
"Oct-66","4,855.3","3,383.5","1,475.4"
"Nov-66","4,855.3","3,383.5","1,475.4"
"Dec-66","4,855.3","3,383.5","1,475.4"
"Jan-67","4,886.3","3,388.3","1,494.9"
"Feb-67","4,886.3","3,388.3","1,494.9"
"Mar-67","4,886.3","3,388.3","1,494.9"
"Apr-67","4,907.5","3,401.3","1,506.0"
"May-67","4,907.5","3,401.3","1,506.0"
"Jun-67","4,907.5","3,401.3","1,506.0"
"Jul-67","4,945.7","3,417.7","1,528.0"
"Aug-67","4,945.7","3,417.7","1,528.0"
"Sep-67","4,945.7","3,417.7","1,528.0"
"Oct-67","4,972.4","3,443.2","1,532.4"
"Nov-67","4,972.4","3,443.2","1,532.4"
"Dec-67","4,972.4","3,443.2","1,532.4"
"Jan-68","5,003.3","3,449.1","1,551.5"
"Feb-68","5,003.3","3,449.1","1,551.5"
"Mar-68","5,003.3","3,449.1","1,551.5"
"Apr-68","5,033.0","3,462.2","1,570.5"
"May-68","5,033.0","3,462.2","1,570.5"
"Jun-68","5,033.0","3,462.2","1,570.5"
"Jul-68","5,068.6","3,485.3","1,583.4"
"Aug-68","5,068.6","3,485.3","1,583.4"
"Sep-68","5,068.6","3,485.3","1,583.4"
"Oct-68","5,079.5","3,499.5","1,582.6"
"Nov-68","5,079.5","3,499.5","1,582.6"
"Dec-68","5,079.5","3,499.5","1,582.6"
"Jan-69","5,139.6","3,525.3","1,612.0"
"Feb-69","5,139.6","3,525.3","1,612.0"
"Mar-69","5,139.6","3,525.3","1,612.0"
"Apr-69","5,159.2","3,538.7","1,620.5"
"May-69","5,159.2","3,538.7","1,620.5"
"Jun-69","5,159.2","3,538.7","1,620.5"
"Jul-69","5,196.4","3,553.3","1,643.1"
"Aug-69","5,196.4","3,553.3","1,643.1"
"Sep-69","5,196.4","3,553.3","1,643.1"
"Oct-69","5,253.9","3,574.9","1,680.8"
"Nov-69","5,253.9","3,574.9","1,680.8"
"Dec-69","5,253.9","3,574.9","1,680.8"
"Jan-70","5,320.6","3,617.4","1,701.0"
"Feb-70","5,320.6","3,617.4","1,701.0"
"Mar-70","5,320.6","3,617.4","1,701.0"
"Apr-70","5,369.6","3,637.0","1,733.5"
"May-70","5,369.6","3,637.0","1,733.5"
"Jun-70","5,369.6","3,637.0","1,733.5"
"Jul-70","5,410.1","3,654.4","1,755.6"
"Aug-70","5,410.1","3,654.4","1,755.6"
"Sep-70","5,410.1","3,654.4","1,755.6"
"Oct-70","5,448.4","3,663.1","1,785.8"
"Nov-70","5,448.4","3,663.1","1,785.8"
"Dec-70","5,448.4","3,663.1","1,785.8"
"Jan-71","5,482.3","3,683.2","1,797.6"
"Feb-71","5,482.3","3,683.2","1,797.6"
"Mar-71","5,482.3","3,683.2","1,797.6"
"Apr-71","5,523.0","3,700.8","1,823.8"
"May-71","5,523.0","3,700.8","1,823.8"
"Jun-71","5,523.0","3,700.8","1,823.8"
"Jul-71","5,532.4","3,720.4","1,811.6"
"Aug-71","5,532.4","3,720.4","1,811.6"
"Sep-71","5,532.4","3,720.4","1,811.6"
"Oct-71","5,527.1","3,723.6","1,803.3"
"Nov-71","5,527.1","3,723.6","1,803.3"
"Dec-71","5,527.1","3,723.6","1,803.3"
"Jan-72","5,537.0","3,730.1","1,805.9"
"Feb-72","5,537.0","3,730.1","1,805.9"
"Mar-72","5,537.0","3,730.1","1,805.9"
"Apr-72","5,562.1","3,748.2","1,816.2"
"May-72","5,562.1","3,748.2","1,816.2"
"Jun-72","5,562.1","3,748.2","1,816.2"
"Jul-72","5,629.8","3,767.0","1,861.6"
"Aug-72","5,629.8","3,767.0","1,861.6"
"Sep-72","5,629.8","3,767.0","1,861.6"
"Oct-72","5,675.0","3,788.2","1,885.9"
"Nov-72","5,675.0","3,788.2","1,885.9"
"Dec-72","5,675.0","3,788.2","1,885.9"
"Jan-73","5,704.1","3,793.4","1,910.4"
"Feb-73","5,704.1","3,793.4","1,910.4"
"Mar-73","5,704.1","3,793.4","1,910.4"
"Apr-73","5,711.1","3,794.5","1,920.0"
"May-73","5,711.1","3,794.5","1,920.0"
"Jun-73","5,711.1","3,794.5","1,920.0"
"Jul-73","5,807.5","3,851.0","1,953.8"
"Aug-73","5,807.5","3,851.0","1,953.8"
"Sep-73","5,807.5","3,851.0","1,953.8"
"Oct-73","5,836.5","3,861.2","1,974.6"
"Nov-73","5,836.5","3,861.2","1,974.6"
"Dec-73","5,836.5","3,861.2","1,974.6"
"Jan-74","5,900.2","3,883.1","2,016.9"
"Feb-74","5,900.2","3,883.1","2,016.9"
"Mar-74","5,900.2","3,883.1","2,016.9"
"Apr-74","5,905.8","3,882.7","2,027.9"
"May-74","5,905.8","3,882.7","2,027.9"
"Jun-74","5,905.8","3,882.7","2,027.9"
"Jul-74","5,883.0","3,859.9","2,019.0"
"Aug-74","5,883.0","3,859.9","2,019.0"
"Sep-74","5,883.0","3,859.9","2,019.0"
"Oct-74","5,875.5","3,849.2","2,025.7"
"Nov-74","5,875.5","3,849.2","2,025.7"
"Dec-74","5,875.5","3,849.2","2,025.7"
"Jan-75","5,827.7","3,822.7","2,005.2"
"Feb-75","5,827.7","3,822.7","2,005.2"
"Mar-75","5,827.7","3,822.7","2,005.2"
"Apr-75","5,836.3","3,827.1","2,013.8"
"May-75","5,836.3","3,827.1","2,013.8"
"Jun-75","5,836.3","3,827.1","2,013.8"
"Jul-75","5,870.5","3,834.6","2,031.2"
"Aug-75","5,870.5","3,834.6","2,031.2"
"Sep-75","5,870.5","3,834.6","2,031.2"
"Oct-75","5,931.2","3,840.7","2,089.8"
"Nov-75","5,931.2","3,840.7","2,089.8"
"Dec-75","5,931.2","3,840.7","2,089.8"
"Jan-76","5,949.9","3,856.1","2,095.1"
"Feb-76","5,949.9","3,856.1","2,095.1"
"Mar-76","5,949.9","3,856.1","2,095.1"
"Apr-76","5,964.6","3,874.3","2,094.2"
"May-76","5,964.6","3,874.3","2,094.2"
"Jun-76","5,964.6","3,874.3","2,094.2"
"Jul-76","5,926.7","3,850.6","2,071.5"
"Aug-76","5,926.7","3,850.6","2,071.5"
"Sep-76","5,926.7","3,850.6","2,071.5"
"Oct-76","5,942.5","3,872.0","2,070.5"
"Nov-76","5,942.5","3,872.0","2,070.5"
"Dec-76","5,942.5","3,872.0","2,070.5"
"Jan-77","5,987.4","3,882.2","2,107.0"
"Feb-77","5,987.4","3,882.2","2,107.0"
"Mar-77","5,987.4","3,882.2","2,107.0"
"Apr-77","6,005.8","3,878.7","2,129.5"
"May-77","6,005.8","3,878.7","2,129.5"
"Jun-77","6,005.8","3,878.7","2,129.5"
"Jul-77","6,022.9","3,881.7","2,137.2"
"Aug-77","6,022.9","3,881.7","2,137.2"
"Sep-77","6,022.9","3,881.7","2,137.2"
"Oct-77","5,984.1","3,873.7","2,110.5"
"Nov-77","5,984.1","3,873.7","2,110.5"
"Dec-77","5,984.1","3,873.7","2,110.5"
"Jan-78","5,997.9","3,881.2","2,116.6"
"Feb-78","5,997.8","3,881.3","2,116.5"
"Mar-78","6,003.3","3,884.8","2,118.5"
"Apr-78","6,030.8","3,888.6","2,142.1"
"May-78","6,033.5","3,885.9","2,147.6"
"Jun-78","6,033.9","3,882.9","2,151.0"
"Jul-78","6,030.6","3,873.1","2,157.6"
"Aug-78","6,036.5","3,872.6","2,163.9"
"Sep-78","6,030.8","3,870.3","2,160.5"
"Oct-78","6,035.9","3,875.8","2,160.1"
"Nov-78","6,028.4","3,877.9","2,150.5"
"Dec-78","6,053.5","3,891.4","2,162.1"
"Jan-79","6,053.1","3,892.1","2,161.0"
"Feb-79","6,063.7","3,901.0","2,162.7"
"Mar-79","6,056.0","3,902.8","2,153.3"
"Apr-79","6,064.7","3,910.2","2,154.5"
"May-79","6,070.6","3,919.5","2,151.1"
"Jun-79","6,099.5","3,928.0","2,171.5"
"Jul-79","6,097.6","3,930.3","2,167.3"
"Aug-79","6,115.0","3,945.0","2,170.0"
"Sep-79","6,117.0","3,943.1","2,173.9"
"Oct-79","6,152.2","3,947.9","2,204.3"
"Nov-79","6,180.6","3,960.2","2,220.4"
"Dec-79","6,184.2","3,962.1","2,222.1"
"Jan-80","6,205.2","3,964.7","2,240.6"
"Feb-80","6,222.0","3,966.4","2,255.6"
"Mar-80","6,233.3","3,966.8","2,266.5"
"Apr-80","6,246.8","3,975.4","2,271.4"
"May-80","6,268.3","3,992.6","2,275.6"
"Jun-80","6,275.5","3,985.2","2,290.2"
"Jul-80","6,306.7","3,997.4","2,309.3"
"Aug-80","6,315.9","4,008.2","2,307.6"
"Sep-80","6,317.9","4,006.4","2,311.5"
"Oct-80","6,307.1","4,012.4","2,294.7"
"Nov-80","6,328.8","4,028.4","2,300.3"
"Dec-80","6,351.7","4,047.9","2,303.7"
"Jan-81","6,357.0","4,049.5","2,307.5"
"Feb-81","6,373.0","4,057.5","2,315.6"
"Mar-81","6,377.0","4,069.8","2,307.2"
"Apr-81","6,404.1","4,071.7","2,332.4"
"May-81","6,405.4","4,073.1","2,332.4"
"Jun-81","6,420.9","4,076.2","2,344.7"
"Jul-81","6,418.6","4,079.9","2,338.7"
"Aug-81","6,434.7","4,084.7","2,350.0"
"Sep-81","6,459.4","4,083.4","2,376.0"
"Oct-81","6,430.0","4,060.9","2,369.1"
"Nov-81","6,417.1","4,061.9","2,355.2"
"Dec-81","6,430.3","4,067.1","2,363.2"
"Jan-82","6,467.7","4,096.1","2,371.6"
"Feb-82","6,450.6","4,087.7","2,362.9"
"Mar-82","6,443.6","4,082.4","2,361.2"
"Apr-82","6,456.0","4,086.8","2,369.1"
"May-82","6,433.1","4,074.2","2,358.9"
"Jun-82","6,420.9","4,067.1","2,353.8"
"Jul-82","6,420.0","4,065.5","2,354.5"
"Aug-82","6,416.7","4,051.1","2,365.6"
"Sep-82","6,400.9","4,048.8","2,352.1"
"Oct-82","6,403.0","4,044.5","2,358.5"
"Nov-82","6,345.9","4,007.6","2,338.2"
"Dec-82","6,295.8","3,962.4","2,333.3"
"Jan-83","6,294.4","3,956.3","2,338.1"
"Feb-83","6,289.6","3,952.0","2,337.6"
"Mar-83","6,256.2","3,925.8","2,330.4"
"Apr-83","6,232.9","3,918.1","2,314.8"
"May-83","6,264.1","3,925.0","2,339.1"
"Jun-83","6,271.3","3,926.6","2,344.7"
"Jul-83","6,277.0","3,921.4","2,355.6"
"Aug-83","6,283.3","3,929.5","2,353.8"
"Sep-83","6,316.8","3,954.5","2,362.3"
"Oct-83","6,317.4","3,951.1","2,366.3"
"Nov-83","6,354.4","3,968.8","2,385.6"
"Dec-83","6,379.1","3,987.0","2,392.1"
"Jan-84","6,377.1","3,988.6","2,388.5"
"Feb-84","6,392.2","4,004.3","2,388.0"
"Mar-84","6,448.0","4,035.5","2,412.5"
"Apr-84","6,454.1","4,027.9","2,426.2"
"May-84","6,479.7","4,039.9","2,439.9"
"Jun-84","6,501.8","4,048.1","2,453.7"
"Jul-84","6,510.8","4,056.8","2,454.0"
"Aug-84","6,508.3","4,046.3","2,461.9"
"Sep-84","6,538.0","4,049.0","2,489.0"
"Oct-84","6,534.8","4,050.3","2,484.5"
"Nov-84","6,550.2","4,064.9","2,485.3"
"Dec-84","6,553.9","4,055.0","2,498.8"
"Jan-85","6,564.0","4,060.9","2,503.1"
"Feb-85","6,626.2","4,089.5","2,536.7"
"Mar-85","6,601.4","4,078.5","2,522.9"
"Apr-85","6,611.4","4,089.8","2,521.6"
