"Proportion of people aged 15 years and over who experienced physical assault and/or face-to-face threatened assault in the last 12 months"
,"Males (%)","Females (%)","Persons (%)"
"2008–09","7.3","4.8","6.0"
"2009–10","6.3","4.6","5.5"
"2010–11","6.3","4.5","5.4"
"2011–12","6.9","4.6","5.7"
"2012–13","5.9","3.9","4.9"
"2013–14","5.0","3.9","4.5"
"2014–15","4.8","3.7","4.2"
"2015–16","4.8","4.3","4.5"
"2016–17","5.0","4.0","4.5"
"2017–18","5.0","4.1","4.6"
"2018–19","4.9","4.2","4.6"
"2019–20","4.5","4.2","4.3"
"2020–21","3.8","3.7","3.8"
"2021–22","4.1","3.4","3.7"
"2022–23","3.6","3.4","3.5"

"Source: Australian Bureau of Statistics, Experience of violence"
