"Proportion of people aged 18–65 years who had a negative online experience(a) in the last 12 months"
,"2019 (%)","2022 (%)"
"At least one negative online experience(b)","58","75"
"Sent unwanted inappropriate content","14","32"
"Called offensive names","12","30"
"Personal information being used without consent","11","25"
"Things said to offend, distress or harm","11","24"

"a. This graph does not display the full list of negative online experiences. For the full list, see the report on Adults' negative online experiences."
"b. Does not include experiences with scams, online fraud, or device virus/malware."

"Source: Australian Bureau of Statistics, Online safety"
