Id,Portfolio Dept?,Title,Portfolio,Classification,Type of Body,GFS Sector Classification,Materiality,Description,Established By / Under,Established by/Under More Info,Creation Date,GFS Function / Sector Reported,PS Act Body,Average Staffing Level (ASL),Max Number of Board / Committee Members,Paid Members?,Board / Committee Appointed by,Board / Committee Appointed More Info,Annual Report Prepared and Tabled?,Auditor,Auditor Other,ABN,Parent Organisation,Parent Board / Non-Board Title,Total Appropriations ($000),Total Departmental Expenses ($000),Head Office Street Address,Head Office Suburb,Head Office State,Head Office Postcode,Head Office Country,Website Address,Strategic/Corporate/Organisational Plan,Annual Reports,Budget Documentation
O-007311,YES,"Department of Climate Change, Energy, the Environment and Water","Climate Change, Energy, the Environment and Water",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"The Department of Climate Change, Energy, the Environment and Water protects Australia?s natural environment and heritage sites, helps Australia respond to climate change and carefully manages our water and energy resources. The new department has been established to deliver on the Government?s climate change and energy agenda and protect Australia?s environment and water resources.",Constitution and Administrative Arrangement Orders,,7/01/2022,Agriculture; Forestry and Fishing; Fuel and Energy; Housing and Community Amenities; Recreation and Culture,Yes - Department,,,,,,Yes,ANAO,,63 573 932 849,,,,,King Edward Terrace,Parkes,ACT,2600,Australia,https://www.dcceew.gov.au/,https://www.dcceew.gov.au/about/reporting/corporate-plan,https://www.dcceew.gov.au/about/reporting/annual-report,https://www.dcceew.gov.au/about/reporting/budget
O-007312,YES,Department of Employment and Workplace Relations,Employment and Workplace Relations,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"We enable access to quality skills, training and employment to support Australians find secure work in fair, productive and safe workplaces ? supporting individuals and our nation to prosper.",Constitution and Administrative Arrangement Orders,,7/01/2022,Education; Other Economic Affairs,Yes - Department,,,,,,Yes,,,,,,,,50 Marcus Clarke Street,Canberra,ACT,2601,Australia,,,,
O-007695,,"Domestic, Family and Sexual Violence Commission",Social Services,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The Domestic, Family and Sexual Violence Commission is a national body that aims to improve the coordination of policy and services so people experiencing domestic, family and sexual violence can access the support they need no matter where they live.",PGPA Rule (Schedule 1),,11/01/2022,Social Security and Welfare,Yes - Executive Agency,,,,,,Yes,,,99 696 833 561,,,,,71 Athllon Drive,Greenway,ACT,2900,Australia,https://www.dss.gov.au/dfsvc,,,
O-007760,,Northern Territory Aboriginal Investment Corporation,Prime Minister and Cabinet,A. Principal,B. Corporate Commonwealth Entity,GGS,,"The purpose of the Northern Territory Aboriginal Investment Corporation is to assist cultural maintenance and social well-being, economic self-sufficiency and self-management for the betterment of Aboriginal people living in the Northern Territory through investments, commercial enterprise, beneficial payments and other financial assistance.",Act / Regulation,Aboriginal Land Rights (Northern Territory) Amendment (Economic Empowerment) Act 2021,15/11/2022,General Public Services,,,,,,,Yes,ANAO,,61 234 978 285,,,,,66 Smith Street,Darwin,NT,800,Australia,,,,
O-007608,,National Emergency Management Agency,Home Affairs,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The National Emergency Management Agency is leading Australia?s disaster and emergency management efforts by providing informed strategic oversight and guidance, and ensuring constant connection with local communities.",PGPA Rule (Schedule 1),,9/01/2022,Agriculture; Forestry and Fishing; Social Security and Welfare; Other Purposes; Housing and Community Amenities,Yes - Executive Agency,,,,,,Yes,,,40 816 261 802,,,,,GPO Box 133,Canberra City,ACT,2611,Australia,https://nema.gov.au/#/,,,
O-004664,,WSA Co Limited,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,C. Commonwealth Company,PNFC,Material,"WSA Co Limited (WSA) was established by the Australian Government to develop and operate Western Sydney International (Nancy-Bird Walton) Airport (the Airport) at Badgery's Creek. WSA is required to execute its responsibilities in accordance with a Project Deed with the Government in order to open the Airport by 2026. In delivering the Airport, WSA's objectives are to: - improve access to aviation services in Western Sydney - resolve the long-term aviation capacity issue in the Sydney basin - maximise the value of athe Airport as a national asset - optimise the benefits of the Airport for employment and investment in Western Sydney - effectively integrate with new and existing initiatives in the Western Sydney area - operate on commercially sound principles",Act / Regulation,Commonwealth company under the Corporations Act 2001,8/07/2017,PNFC,,,,,,,Yes,ANAO,,81 618 989 272,,,,,"Level 3, 45-47 Scott Street",Liverpool,NSW,2170,Australia,https://www.westernsydneyairport.gov.au/,,https://westernsydney.com.au/index.php/about/documents-reports,
O-004593,,Australian Naval Infrastructure Pty Ltd,Finance,A. Principal,C. Commonwealth Company,PNFC,Material,"ANI is a wholly-owned Commonwealth company, bound by the Corporations Act 2001 and the Public Governance, Performance and Accountability Act 2013, that operates at arm?s length from Government, and was prescribed as a Government Business Enterprise with effect from 1 July 2017.",Other,Company Limited by Shares,26/03/2017,PNFC,,,,,,,Yes,,,45 051 762 639,,,,,"Common User Facility, 61 Veitch Road, Osborne SA 5017",Osborne,SA,5017,Australia,,,,
O-000881,,Australian Hearing Services (Hearing Australia),Social Services,A. Principal,B. Corporate Commonwealth Entity,PNFC,Material,"Australian Hearing Services (Hearing Australia) is the largest provider of government funded hearing services. Hearing Australia provides hearing services to clients eligible under the Australian Government Hearing Services Program. Its services include assessing hearing, fitting hearing devices and providing rehabilitative programs to help eligible clients manage their hearing impairment.",Act / Regulation,Australian Hearing Services Act 1991,7/01/1992,PNFC,,,,,,,Yes,ANAO,,80 308 797 003,,,,,"Level 5, 16 University Avenue",Macquarie University,NSW,2109,Australia,http://www.hearing.com.au,https://www.hearing.com.au/About-Hearing-Australia/Corporate-Publications-(1)/Corporate-Plan,https://www.hearing.com.au/About-Hearing-Australia/Corporate-Publications-(1)/Annual-Reports,
O-000880,,Services Australia,Social Services,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"Services Australia delivers social and health related services, through its Centrelink, Medicare and Child Support programmes. Through close collaboration with the community and partner agencies, Services Australia plays an active role in developing new approaches to social and health related policy and service delivery.",Constitution and Administrative Arrangement Orders,,2/01/2020,Social Security and Welfare; Health,Yes - Executive Agency,,,,,,Yes,ANAO,,90 794 605 008,,,,,18 Canberra Avenue,Forrest,ACT,2603,Australia,https://www.servicesaustralia.gov.au/,https://www.servicesaustralia.gov.au/organisations/about-us/publications-and-resources/corporate-plan,https://www.servicesaustralia.gov.au/organisations/about-us/annual-reports,https://www.servicesaustralia.gov.au/corporate/publications-and-resources/budget/
O-000879,,Professional Services Review,Health and Aged Care,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The Professional Services Review (PSR) protects patients and the community from the risks associated with inappropriate practice, and protects the Commonwealth from having to meet the cost of medical / health services provided as a result of inappropriate practice. The PSR is responsible for reviewing and examining possible inappropriate practice by practitioners when they provide Medicare services, or prescribe Government subsidised medicines under the PBS. PSR examines suspected cases of inappropriate practice that have been referred by the Secretary of the Department of Human Services. PSR cannot initiate its own reviews of practitioners.",Act / Regulation,Health Insurance Act 1973,7/01/1994,Health,Yes - Statutory Agency,,,,,,Yes,ANAO,,45 307 308 260,,,,,"Level 1, 20 Brindabella Circuit",Brindabella Business Park,ACT,2609,Australia,http://www.psr.gov.au,http://www.psr.gov.au/publications-and-resources/governance-and-corporate-documents,http://www.psr.gov.au/publications-and-resources/annual-reports,http://www.psr.gov.au/publications-and-resources/governance-and-corporate-documents
